Verð sérbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
1990.0,1.0,13.0,199.0,11342.0,10471.0,57614.0,52823.0
1989.0,12.0,21.0,173.0,9291.0,8620.0,53886.0,49450.0
1989.0,11.0,36.0,164.0,9280.0,8423.0,57632.0,52110.0
1989.0,10.0,24.0,169.0,8804.0,8032.0,54792.0,49953.0
1989.0,9.0,12.0,190.0,9011.0,8766.0,47629.0,46373.0
1989.0,8.0,17.0,166.0,9097.0,8944.0,54855.0,53869.0
1989.0,7.0,8.0,162.0,7456.0,7376.0,46549.0,46347.0
1989.0,6.0,25.0,171.0,8950.0,8604.0,53612.0,51522.0
1989.0,5.0,25.0,172.0,9071.0,8797.0,55395.0,53517.0
1989.0,4.0,17.0,174.0,8221.0,7886.0,47852.0,45720.0
1989.0,3.0,17.0,152.0,8156.0,7791.0,55304.0,52556.0
1989.0,2.0,14.0,200.0,8564.0,8080.0,45437.0,42753.0
1989.0,1.0,12.0,150.0,7008.0,6689.0,49199.0,46268.0
1988.0,12.0,10.0,180.0,8863.0,8657.0,49400.0,48114.0
1988.0,11.0,15.0,182.0,8307.0,8129.0,47943.0,46232.0
1988.0,10.0,12.0,179.0,8133.0,8092.0,46519.0,46159.0
1988.0,9.0,13.0,149.0,6745.0,6603.0,46179.0,45082.0
1988.0,8.0,12.0,152.0,6358.0,6171.0,43968.0,42279.0
1988.0,7.0,17.0,180.0,8041.0,7844.0,44483.0,43467.0
1988.0,6.0,14.0,209.0,9049.0,8834.0,43860.0,42788.0
1988.0,5.0,28.0,172.0,7394.0,7101.0,43220.0,41450.0
1988.0,4.0,19.0,161.0,6811.0,6568.0,42330.0,40839.0
1988.0,3.0,26.0,168.0,6808.0,6556.0,41679.0,39574.0
1988.0,2.0,20.0,203.0,8267.0,8075.0,42759.0,41600.0
1988.0,1.0,12.0,161.0,5867.0,5730.0,38743.0,37717.0
1987.0,12.0,8.0,187.0,6600.0,6355.0,36876.0,35410.0
1987.0,11.0,14.0,179.0,6593.0,6330.0,40130.0,38413.0
1987.0,10.0,21.0,158.0,5948.0,5693.0,39298.0,37213.0
1987.0,9.0,21.0,195.0,6674.0,6508.0,34666.0,33875.0
1987.0,8.0,25.0,192.0,6644.0,6543.0,34816.0,34286.0
1987.0,7.0,23.0,185.0,6463.0,6288.0,35423.0,34424.0
1987.0,6.0,9.0,179.0,5511.0,5376.0,31551.0,30658.0
1987.0,5.0,17.0,203.0,6320.0,6112.0,31478.0,30435.0
1987.0,4.0,22.0,162.0,5163.0,4872.0,32169.0,30407.0
1987.0,3.0,27.0,178.0,5433.0,5158.0,30984.0,29382.0
1987.0,2.0,23.0,190.0,5632.0,5392.0,29638.0,28326.0
1987.0,1.0,12.0,158.0,4710.0,4391.0,29965.0,27749.0
1986.0,12.0,15.0,164.0,4787.0,4554.0,30096.0,28598.0
1986.0,11.0,11.0,179.0,5427.0,5052.0,31246.0,29164.0
1986.0,10.0,25.0,186.0,5209.0,4960.0,28228.0,26800.0
1986.0,9.0,25.0,154.0,4236.0,3863.0,29184.0,26602.0
1986.0,8.0,24.0,186.0,4315.0,3925.0,24171.0,21985.0
1986.0,7.0,35.0,174.0,4077.0,3727.0,24009.0,21872.0
